Kehadiran_Semester_1,Kehadiran_Semester_2,Nilai_Rata_Semester_1,Nilai_Rata_Semester_2,Jumlah_Pelanggaran,Pendidikan_Ayah,Pendidikan_Ibu,Status_Keluarga,Jumlah_Saudara,Jarak_Rumah_km,Status_SPP,Penerima_Beasiswa,Penghasilan_Ortu,Tanggungan_Keluarga,Status
93,76,93.2,82.4,17,2,3,1,5,1.5,0,0,3,3,Non-Dropout
74,69,79.1,79.0,13,5,1,1,5,1.6,0,0,1,2,Dropout
98,73,51.0,66.0,19,1,4,1,3,1.6,1,0,2,1,Non-Dropout
76,61,80.5,43.2,17,2,1,1,4,0.5,1,0,1,3,Dropout
91,99,69.1,44.1,9,2,2,2,5,13.1,1,0,4,2,Non-Dropout
77,84,78.9,86.9,1,5,3,1,2,1.2,1,0,4,7,Non-Dropout
65,82,82.2,94.5,0,3,2,1,3,2.7,1,0,2,2,Non-Dropout
64,82,44.8,77.2,3,2,1,2,2,0.5,1,0,2,6,Non-Dropout
96,92,67.8,64.5,13,3,2,2,4,9.8,1,0,2,7,Non-Dropout
93,86,91.3,75.6,0,3,2,1,5,6.6,0,0,3,3,Non-Dropout
52,61,57.6,72.7,13,1,4,1,1,14.7,1,0,2,2,Dropout
86,52,72.7,61.1,15,5,2,1,5,7.6,1,0,2,5,Non-Dropout
56,50,60.3,43.6,13,4,4,1,4,1.9,1,0,2,3,Dropout
70,82,65.0,85.2,19,3,5,1,5,1.4,0,0,1,2,Dropout
58,89,70.2,60.5,2,5,3,1,5,6.0,1,0,3,6,Non-Dropout
88,59,70.2,85.0,2,3,5,1,0,2.3,1,0,1,1,Non-Dropout
67,92,51.1,53.9,8,5,2,2,5,4.2,1,1,3,1,Non-Dropout
53,93,77.7,40.1,5,3,5,1,5,0.5,0,0,1,5,Non-Dropout
74,78,44.8,48.7,12,3,1,1,2,0.5,1,1,2,3,Dropout
63,62,47.6,65.8,1,2,3,1,1,3.8,1,0,3,6,Non-Dropout
99,61,40.1,91.9,7,5,3,3,2,4.2,1,0,4,2,Dropout
58,80,46.4,45.6,1,3,2,2,2,7.0,1,0,3,2,Dropout
75,95,66.0,87.0,3,2,3,2,3,0.7,1,0,2,1,Non-Dropout
51,51,73.3,69.0,14,1,3,2,0,3.6,1,0,1,6,Dropout
69,99,83.7,85.4,3,3,1,3,2,1.1,1,0,4,7,Non-Dropout
77,84,45.9,56.4,12,3,2,1,4,0.5,1,0,2,5,Non-Dropout
96,72,86.8,86.2,11,3,3,1,4,2.6,0,0,1,1,Non-Dropout
56,66,81.0,82.5,12,5,3,1,5,0.9,1,0,4,1,Non-Dropout
93,75,62.5,52.7,13,1,5,2,3,1.3,0,0,3,5,Non-Dropout
57,57,91.3,47.2,19,3,4,2,0,1.9,1,0,4,3,Dropout
96,78,94.5,87.7,17,2,5,1,0,1.5,0,0,4,2,Non-Dropout
84,75,51.3,93.0,5,5,3,1,5,0.5,0,0,4,3,Non-Dropout
63,59,60.9,41.7,10,4,2,1,4,0.5,1,1,1,6,Non-Dropout
66,75,91.0,80.2,1,3,1,3,1,1.1,0,1,1,7,Non-Dropout
85,83,79.7,90.0,18,3,4,1,3,0.5,1,0,2,4,Non-Dropout
99,90,42.6,87.2,18,2,3,1,5,4.9,0,0,2,4,Non-Dropout
89,56,83.0,93.0,4,3,1,1,3,1.7,1,1,2,4,Non-Dropout
53,53,85.5,81.8,18,4,2,1,4,1.6,1,0,2,5,Non-Dropout
51,99,81.3,64.3,1,3,5,2,4,2.0,1,0,2,1,Non-Dropout
55,94,84.0,57.2,9,2,3,1,1,5.4,1,1,2,7,Non-Dropout
91,60,85.4,57.6,1,3,3,2,1,10.2,0,0,1,3,Dropout
53,78,50.3,79.8,10,4,3,1,0,7.1,1,0,2,2,Non-Dropout
78,85,53.0,81.0,17,2,2,1,3,6.5,0,0,2,4,Non-Dropout
67,74,74.9,51.0,14,2,2,1,3,3.3,1,0,3,3,Dropout
75,70,89.9,87.7,8,3,2,2,4,5.9,1,1,1,4,Dropout
93,85,57.4,79.3,18,4,1,1,0,4.0,1,0,2,7,Non-Dropout
83,59,72.4,71.0,8,1,4,1,5,1.2,0,0,3,4,Dropout
59,86,77.6,65.9,2,2,3,1,3,1.2,1,0,2,2,Non-Dropout
85,58,64.9,69.9,8,1,4,3,0,1.8,0,0,1,6,Non-Dropout
63,73,79.3,48.8,13,2,5,1,0,12.1,1,0,2,6,Non-Dropout
80,84,89.5,51.2,18,3,2,2,4,4.0,1,0,2,7,Non-Dropout
97,98,74.3,45.0,6,3,3,1,0,6.6,1,1,4,6,Non-Dropout
64,84,69.7,48.5,15,3,3,1,1,2.1,0,0,1,5,Dropout
57,97,64.1,65.0,15,3,5,1,1,2.6,0,0,3,1,Dropout
63,85,71.8,69.2,0,2,2,1,2,0.7,1,0,1,5,Non-Dropout
72,67,59.5,41.0,3,4,3,1,4,0.9,0,0,2,3,Dropout
89,98,61.5,83.8,3,3,3,1,5,8.8,0,1,2,5,Non-Dropout
70,88,69.3,56.2,6,5,2,1,2,4.4,1,0,2,3,Dropout
65,81,43.7,90.2,7,3,1,3,1,2.1,0,1,2,3,Non-Dropout
94,73,52.6,93.2,16,1,3,1,2,8.1,0,0,1,1,Dropout
67,72,69.9,50.2,4,3,3,2,4,1.4,1,0,2,2,Dropout
96,81,63.7,65.4,6,2,2,1,4,18.7,1,0,3,7,Non-Dropout
73,86,58.3,40.1,19,3,3,1,0,2.1,0,0,2,1,Dropout
75,61,80.2,72.9,19,1,2,1,3,2.1,0,0,4,7,Non-Dropout
74,98,78.2,73.4,3,2,3,1,0,1.9,1,1,3,6,Dropout
94,62,49.2,53.6,5,5,2,1,4,0.7,0,0,2,6,Dropout
90,72,88.3,70.7,6,2,5,1,1,0.6,1,1,1,5,Non-Dropout
78,74,67.2,52.4,17,4,2,1,5,5.2,0,0,2,3,Non-Dropout
64,84,80.8,48.8,4,2,2,1,1,10.4,1,0,3,4,Non-Dropout
94,90,71.5,75.8,19,3,1,2,0,7.8,1,0,2,4,Non-Dropout
50,79,94.9,57.9,2,3,1,2,5,0.8,1,0,3,7,Non-Dropout
74,66,81.4,72.5,6,3,3,1,4,3.9,1,0,2,3,Non-Dropout
56,98,78.9,63.8,13,2,2,1,1,0.6,1,0,3,7,Non-Dropout
58,69,82.8,94.1,6,2,4,1,4,0.5,0,0,1,1,Dropout
73,97,47.9,48.2,4,1,1,1,5,5.3,0,1,4,2,Dropout
50,74,51.2,65.6,4,2,2,1,5,3.8,1,0,2,1,Dropout
93,71,79.3,77.4,1,3,2,1,1,0.5,0,1,2,3,Dropout
57,62,67.2,61.8,5,5,1,1,4,0.5,0,1,2,3,Non-Dropout
73,68,81.5,93.6,14,5,1,1,2,22.9,1,0,2,2,Non-Dropout
60,98,45.7,79.7,9,4,3,1,4,0.5,1,0,4,7,Non-Dropout
66,85,69.5,76.1,6,4,3,2,5,2.9,1,0,2,5,Non-Dropout
57,61,60.8,81.6,4,3,3,2,4,3.5,1,0,1,5,Dropout
84,90,65.1,92.4,0,2,3,1,0,0.6,1,0,2,2,Non-Dropout
84,68,73.2,89.9,12,5,3,3,2,0.9,0,1,2,5,Non-Dropout
82,61,67.6,79.8,17,3,1,3,3,2.2,1,0,2,4,Non-Dropout
54,58,69.7,81.2,12,3,3,1,0,7.2,0,0,3,5,Dropout
91,56,66.7,48.0,17,1,5,1,3,3.5,1,0,2,5,Non-Dropout
88,77,62.5,45.7,4,3,3,1,1,5.1,1,0,4,5,Non-Dropout
90,63,82.5,71.4,12,3,3,3,3,21.1,1,0,2,4,Non-Dropout
77,80,40.7,41.0,3,5,2,2,4,7.3,1,0,1,7,Dropout
56,68,72.9,66.5,16,3,4,1,3,2.8,0,0,3,5,Dropout
58,96,71.1,51.6,2,2,4,1,5,3.0,1,0,3,6,Non-Dropout
57,65,79.4,59.0,16,5,3,1,0,4.8,1,0,2,4,Dropout
61,54,72.9,82.7,10,1,5,1,0,5.5,1,0,3,2,Dropout
83,84,85.5,91.8,19,3,1,1,3,3.5,1,0,2,1,Non-Dropout
82,61,92.7,44.0,3,1,1,2,0,5.2,1,0,2,2,Non-Dropout
97,74,58.8,69.4,1,3,4,1,5,0.5,0,0,4,1,Non-Dropout
72,70,52.5,88.5,19,5,4,2,0,2.8,0,1,1,2,Dropout
73,85,63.3,44.5,15,2,1,2,3,1.6,1,0,2,6,Dropout
86,72,55.8,85.3,17,5,2,2,2,0.7,1,1,3,1,Non-Dropout
84,65,73.8,59.7,7,2,1,1,2,0.5,1,0,4,1,Non-Dropout
93,88,90.2,57.7,2,5,2,1,1,4.6,1,0,2,3,Non-Dropout
89,94,47.7,93.8,8,4,4,1,0,3.7,1,1,2,1,Non-Dropout
71,91,45.5,51.0,19,4,3,1,3,1.5,1,0,2,1,Non-Dropout
76,88,54.1,78.1,5,1,2,1,0,3.2,1,1,4,3,Non-Dropout
84,63,79.9,85.2,9,5,2,1,4,3.4,0,0,4,5,Non-Dropout
50,80,72.6,42.3,9,3,1,1,5,1.1,1,0,1,5,Dropout
84,54,45.6,76.9,12,2,2,1,0,5.3,0,1,2,3,Non-Dropout
86,84,90.5,92.3,16,4,3,1,0,7.6,0,0,2,4,Non-Dropout
96,72,83.5,46.8,8,2,5,1,2,7.8,1,0,3,1,Dropout
63,78,41.3,89.3,16,5,4,2,5,4.6,1,0,3,1,Dropout
52,92,75.8,72.7,8,1,1,2,3,3.6,0,1,3,3,Non-Dropout
50,60,82.4,73.9,8,3,5,1,0,0.5,0,1,4,3,Dropout
54,67,60.6,73.7,0,3,4,1,2,1.7,0,0,1,4,Dropout
75,96,43.8,56.4,1,1,4,1,1,0.5,1,1,2,6,Non-Dropout
63,61,44.3,91.4,15,2,3,1,5,16.6,0,0,2,5,Dropout
88,58,45.7,92.1,0,1,2,1,2,0.7,0,0,2,2,Dropout
76,59,86.2,74.4,9,3,2,2,2,0.8,1,0,1,6,Dropout
58,93,90.1,83.1,17,2,1,1,2,11.0,1,0,1,7,Non-Dropout
64,66,46.8,73.7,7,3,2,1,0,14.4,1,0,3,5,Non-Dropout
64,87,53.0,66.6,10,2,2,1,0,7.3,0,0,4,1,Non-Dropout
75,56,49.1,76.3,1,2,3,1,1,0.5,1,0,2,7,Non-Dropout
91,95,50.2,70.4,7,3,3,1,4,0.5,1,0,2,6,Non-Dropout
62,62,86.1,72.9,7,1,3,1,4,2.4,1,0,2,3,Non-Dropout
81,89,58.3,83.1,16,5,1,1,4,0.8,1,0,3,4,Non-Dropout
88,91,57.1,66.4,14,5,5,1,5,0.5,1,0,3,5,Non-Dropout
98,58,52.5,42.2,16,3,5,1,5,3.1,0,1,2,4,Dropout
81,99,73.4,49.0,12,3,4,1,1,14.3,1,1,2,7,Non-Dropout
53,76,60.9,64.1,18,5,5,1,5,2.0,1,0,1,5,Non-Dropout
79,51,80.9,79.9,4,2,3,3,4,5.4,1,1,1,6,Non-Dropout
86,54,51.3,72.6,11,1,5,1,4,5.3,0,0,2,1,Dropout
72,78,83.3,75.8,0,2,1,1,2,1.4,0,0,3,2,Non-Dropout
88,86,73.2,66.4,4,4,2,1,5,5.3,1,1,4,4,Non-Dropout
94,87,46.3,73.9,7,1,2,1,0,1.2,0,0,2,4,Non-Dropout
64,68,62.8,58.1,12,3,2,1,0,0.7,0,1,3,2,Dropout
92,57,87.5,65.9,7,5,1,1,2,6.0,1,0,4,4,Non-Dropout
78,97,90.8,80.9,10,5,3,2,2,0.6,1,1,2,4,Non-Dropout
85,94,65.6,88.0,0,3,4,1,2,28.9,1,0,2,5,Non-Dropout
62,50,66.4,63.9,12,1,3,1,0,1.0,1,0,4,5,Dropout
81,71,90.5,42.4,18,4,1,1,4,4.5,1,0,2,2,Non-Dropout
56,66,72.3,48.9,2,3,4,2,2,2.6,0,0,4,7,Dropout
71,56,41.8,41.1,16,1,3,1,1,0.7,0,0,4,1,Dropout
77,74,90.2,75.9,4,1,2,1,2,0.5,1,1,3,6,Non-Dropout
51,94,53.7,58.3,19,5,3,1,3,4.9,1,0,3,6,Dropout
91,53,71.8,69.8,7,3,2,1,2,8.2,1,0,3,7,Non-Dropout
94,85,49.1,67.1,13,4,2,1,0,9.2,0,0,3,4,Dropout
55,55,41.9,44.5,3,5,5,1,5,3.3,1,0,2,1,Non-Dropout
77,80,57.1,62.2,10,3,2,1,2,7.5,1,1,1,2,Non-Dropout
77,68,82.9,52.1,19,3,3,1,5,5.6,1,0,2,7,Non-Dropout
93,93,55.3,63.0,14,3,5,1,3,6.4,1,0,3,2,Non-Dropout
93,88,52.1,51.2,18,2,3,1,1,3.4,1,0,1,5,Non-Dropout
69,76,51.7,86.2,6,3,1,2,5,5.0,1,0,1,4,Dropout
79,59,68.3,49.6,18,4,1,1,4,8.2,1,1,1,3,Dropout
60,75,93.7,92.8,18,3,1,1,2,2.5,0,0,3,2,Non-Dropout
77,68,65.2,62.9,10,5,3,1,3,8.2,1,0,4,7,Non-Dropout
74,88,70.7,86.5,4,3,3,1,3,4.5,1,1,4,4,Non-Dropout
88,52,87.3,74.6,4,3,1,2,5,0.9,0,1,2,1,Non-Dropout
82,94,69.4,80.4,7,3,5,1,1,0.5,1,0,4,7,Non-Dropout
50,62,50.1,82.2,9,3,3,1,0,2.3,1,0,3,5,Non-Dropout
76,99,56.5,67.8,5,3,2,1,2,4.0,0,0,2,6,Non-Dropout
62,77,57.0,69.9,14,2,3,1,3,9.2,1,0,2,1,Non-Dropout
90,69,61.9,68.3,15,3,3,1,1,0.7,0,1,1,2,Non-Dropout
52,77,63.5,72.3,16,1,1,1,4,8.1,1,0,4,2,Non-Dropout
88,57,84.0,41.6,7,2,2,1,3,9.9,1,0,2,1,Non-Dropout
55,90,59.2,61.8,7,3,4,2,1,0.8,1,0,2,2,Dropout
57,88,65.8,73.3,8,3,3,1,0,9.5,1,0,3,7,Non-Dropout
76,50,74.4,72.9,1,5,3,2,0,23.8,1,0,2,4,Non-Dropout
58,52,60.8,83.6,14,3,3,2,3,6.5,1,0,2,2,Non-Dropout
86,62,86.0,76.0,17,3,1,2,3,7.7,0,0,3,5,Dropout
82,77,72.3,94.6,2,3,2,1,5,25.9,1,0,1,4,Non-Dropout
91,98,56.2,55.6,16,3,3,1,2,4.7,0,0,3,7,Dropout
93,74,79.3,59.8,3,1,2,2,1,1.8,1,0,2,3,Dropout
73,82,69.0,61.1,3,2,1,1,3,9.1,1,0,3,2,Non-Dropout
64,87,69.4,65.6,13,2,4,1,2,4.8,0,0,3,2,Non-Dropout
81,55,66.5,86.0,8,3,5,2,5,4.4,1,0,2,5,Non-Dropout
81,93,67.3,53.0,8,1,4,2,2,1.5,0,0,2,7,Non-Dropout
73,94,82.1,82.7,17,1,5,1,3,7.1,0,0,3,5,Non-Dropout
90,81,45.7,62.3,9,2,2,1,0,0.5,1,0,3,6,Non-Dropout
98,94,58.4,73.1,3,5,5,1,1,12.9,0,1,3,7,Non-Dropout
98,96,44.2,74.8,11,2,2,2,1,2.0,0,1,4,1,Dropout
61,70,81.4,60.5,7,3,5,3,0,0.7,0,0,1,1,Dropout
88,65,55.0,68.2,1,2,5,1,3,2.9,1,0,2,1,Non-Dropout
51,70,89.4,62.7,12,3,3,1,1,0.5,0,1,4,5,Dropout
52,60,69.0,43.8,15,2,5,2,3,5.8,1,0,2,1,Dropout
98,86,84.0,64.0,1,2,3,1,5,11.7,0,0,1,7,Non-Dropout
86,85,93.8,45.4,10,3,2,1,3,9.1,1,0,2,1,Non-Dropout
98,84,86.2,62.3,9,1,3,3,2,0.7,1,1,1,3,Non-Dropout
66,68,87.7,72.6,14,1,3,1,0,0.7,0,0,2,1,Dropout
98,69,62.4,71.9,16,2,1,1,3,8.4,1,0,4,2,Non-Dropout
51,67,70.3,76.4,7,1,3,1,5,12.9,1,0,2,6,Non-Dropout
51,96,54.0,45.2,17,1,5,1,4,3.1,1,1,2,5,Dropout
77,90,50.8,75.9,8,2,2,2,0,3.5,1,0,4,4,Non-Dropout
72,98,67.8,57.2,7,4,4,1,1,1.9,0,0,4,6,Non-Dropout
86,63,72.7,61.9,13,3,5,3,2,11.2,1,0,2,3,Non-Dropout
81,64,58.7,87.2,17,3,5,1,1,5.2,1,0,2,5,Non-Dropout
82,80,71.3,40.5,19,2,5,1,5,1.7,1,0,3,7,Non-Dropout
50,50,88.8,72.4,19,5,3,1,5,1.8,1,0,3,5,Non-Dropout
68,52,70.6,72.9,11,2,5,1,1,11.1,1,1,3,2,Non-Dropout
51,65,79.6,61.8,18,1,4,1,0,0.5,1,0,4,7,Non-Dropout
93,72,84.3,53.0,13,3,2,1,1,1.9,0,0,3,6,Dropout
75,60,94.4,52.9,16,1,3,1,3,4.0,0,0,2,6,Dropout
81,61,73.2,88.6,2,2,3,1,1,0.8,0,0,3,1,Non-Dropout
55,59,84.4,64.3,6,3,2,2,2,0.5,1,0,2,7,Dropout
81,81,92.9,58.2,16,5,3,1,2,8.4,1,0,3,2,Non-Dropout
53,65,91.9,64.7,11,3,3,2,4,11.2,1,0,3,1,Dropout
60,57,47.8,76.8,8,3,2,1,2,8.7,1,0,1,1,Dropout
66,87,62.4,48.0,14,5,3,1,1,11.5,1,0,2,5,Non-Dropout
87,61,57.8,64.7,17,1,4,1,2,4.0,1,1,2,6,Non-Dropout
73,73,44.8,72.3,12,2,3,1,0,8.4,1,1,2,1,Dropout
54,77,74.8,92.2,7,2,1,1,2,2.4,1,0,3,3,Non-Dropout
83,57,80.5,53.9,13,3,1,2,3,5.5,1,0,2,3,Dropout
55,77,86.6,59.8,7,3,2,2,0,22.5,1,0,3,6,Non-Dropout
71,85,46.8,60.9,13,5,5,1,4,1.3,1,1,1,3,Non-Dropout
60,75,88.2,73.3,6,3,2,1,3,2.5,1,0,3,5,Non-Dropout
97,57,75.4,59.6,11,3,3,2,1,3.3,1,1,3,2,Non-Dropout
65,99,78.7,69.3,10,2,2,1,1,0.7,1,0,3,4,Non-Dropout
82,77,90.1,83.0,10,4,2,2,1,0.5,1,1,2,1,Non-Dropout
58,77,74.4,78.8,12,5,4,2,3,8.9,0,1,4,4,Non-Dropout
55,86,58.5,64.6,17,4,3,2,3,18.8,1,1,2,2,Non-Dropout
65,90,85.4,87.5,1,1,1,1,3,2.6,0,0,1,2,Non-Dropout
78,85,60.0,70.7,14,3,3,1,0,0.5,1,0,2,5,Non-Dropout
52,76,41.9,69.7,19,1,1,1,5,0.5,1,0,1,3,Dropout
69,66,85.7,41.9,17,2,3,1,0,11.1,1,0,4,3,Dropout
85,58,59.0,94.3,14,1,3,2,1,3.1,0,0,2,2,Dropout
68,82,82.6,46.8,18,3,1,1,5,1.9,1,0,3,5,Non-Dropout
75,69,60.0,52.7,11,3,2,1,2,3.2,1,0,3,5,Dropout
52,62,87.4,42.8,12,1,2,2,1,1.9,0,0,2,6,Dropout
68,77,52.1,75.2,10,2,5,2,4,3.4,1,0,3,7,Non-Dropout
69,97,93.6,52.4,4,3,5,3,0,9.8,1,0,1,1,Dropout
81,78,82.9,49.9,0,2,1,2,3,4.5,1,1,2,7,Non-Dropout
56,62,46.3,44.9,2,1,4,1,0,5.9,0,0,1,3,Dropout
90,95,71.1,45.7,18,3,2,1,3,2.3,1,0,4,2,Non-Dropout
82,84,94.2,72.2,6,4,2,2,5,6.7,1,0,4,6,Non-Dropout
89,55,65.9,77.9,11,1,4,1,4,5.5,1,1,2,4,Non-Dropout
88,67,50.0,61.9,14,1,5,1,5,0.6,1,0,2,3,Non-Dropout
67,54,66.7,66.4,4,2,5,1,4,4.3,0,0,3,1,Dropout
89,96,68.2,77.7,14,5,3,1,0,1.5,0,0,2,5,Non-Dropout
50,74,80.8,41.0,7,3,2,2,3,8.2,0,0,4,2,Dropout
60,51,78.4,57.8,9,3,4,1,5,2.8,1,0,2,3,Non-Dropout
77,59,62.1,93.5,15,2,2,1,4,26.2,0,1,2,4,Non-Dropout
74,79,52.0,71.9,7,3,3,1,1,0.5,0,1,3,1,Non-Dropout
99,99,75.5,54.0,0,1,2,1,1,7.6,1,0,2,1,Non-Dropout
72,94,63.2,68.7,11,3,3,1,5,5.6,0,0,4,6,Dropout
80,54,47.3,58.8,4,5,2,1,3,7.3,0,0,4,3,Dropout
79,82,89.5,69.3,2,3,2,3,5,1.8,1,0,1,4,Non-Dropout
91,50,78.0,46.9,0,5,5,1,0,3.4,0,0,1,1,Non-Dropout
84,67,77.6,47.3,3,3,1,1,4,8.0,1,0,4,2,Non-Dropout
56,81,85.2,47.9,7,1,3,1,0,1.3,1,1,4,1,Non-Dropout
65,96,69.1,91.7,2,5,2,1,1,1.3,1,1,1,4,Dropout
75,98,84.8,80.3,9,1,1,1,4,4.0,1,0,3,5,Non-Dropout
97,60,67.4,48.9,1,3,1,2,5,3.7,1,0,2,5,Dropout
98,70,43.7,50.4,10,1,2,1,0,1.7,1,0,2,6,Non-Dropout
51,75,62.3,80.2,9,1,5,2,2,1.8,1,0,4,3,Non-Dropout
50,74,67.4,48.6,13,3,2,1,3,1.6,1,0,1,4,Dropout
97,71,79.6,52.9,6,2,5,1,3,7.4,1,0,4,6,Non-Dropout
61,76,45.9,93.0,1,3,3,1,2,5.3,1,1,2,7,Non-Dropout
54,98,47.7,54.0,8,3,3,3,1,8.9,1,0,3,1,Dropout
86,62,54.5,76.4,15,1,3,1,4,18.5,0,0,2,7,Non-Dropout
81,82,54.7,93.8,12,1,3,1,3,3.2,0,0,2,1,Non-Dropout
58,83,80.3,60.6,8,3,4,1,2,0.5,0,0,3,5,Non-Dropout
90,90,53.8,41.0,19,2,2,1,5,0.5,1,0,1,6,Non-Dropout
84,84,74.8,53.4,3,3,2,1,2,1.8,1,0,2,5,Non-Dropout
68,50,67.2,85.7,9,3,5,1,1,13.5,1,0,2,2,Non-Dropout
97,70,71.5,87.6,11,4,5,1,1,3.7,1,0,1,7,Non-Dropout
65,97,86.1,82.3,16,3,5,1,0,1.6,1,0,3,7,Non-Dropout
52,55,62.2,46.2,13,3,3,1,3,2.5,0,1,2,5,Dropout
69,77,82.4,83.8,13,3,4,2,0,4.6,0,0,2,2,Dropout
73,66,63.2,90.5,1,2,3,2,2,5.3,1,0,2,1,Non-Dropout
82,54,59.5,73.0,19,2,3,2,4,0.8,1,0,2,6,Dropout
73,80,92.7,91.7,10,4,2,1,4,18.9,1,0,1,2,Non-Dropout
60,54,50.1,85.5,15,3,3,1,1,3.9,1,0,2,6,Dropout
98,87,45.0,76.7,18,4,2,1,4,0.7,0,1,2,7,Dropout
57,52,82.4,71.7,5,4,2,1,4,11.2,1,1,3,6,Non-Dropout
85,72,43.8,59.2,18,5,5,1,4,0.5,1,0,3,7,Non-Dropout
87,86,86.0,48.8,4,5,2,1,2,11.9,0,0,2,2,Non-Dropout
89,86,64.0,73.3,3,3,1,1,4,28.4,1,0,1,7,Non-Dropout
69,59,90.4,57.5,14,2,1,1,5,6.0,1,0,2,3,Dropout
84,59,79.7,87.7,3,3,5,2,4,7.4,1,1,1,7,Non-Dropout
97,68,73.6,94.6,19,2,3,1,4,2.1,1,0,1,5,Non-Dropout
74,66,92.2,81.4,9,3,3,1,0,14.2,1,0,2,2,Non-Dropout
84,70,61.8,45.0,2,3,4,1,2,3.8,0,0,2,1,Non-Dropout
74,63,92.5,55.9,4,3,4,1,1,6.6,1,0,2,6,Non-Dropout
78,58,47.4,46.0,5,2,2,1,0,12.9,1,1,1,4,Non-Dropout
67,95,66.6,75.8,7,2,3,2,3,18.5,0,0,1,2,Dropout
95,50,54.8,82.1,6,3,4,2,2,9.0,0,1,1,5,Dropout
67,94,69.7,90.9,9,1,3,1,5,1.8,1,0,1,7,Dropout
51,62,48.9,64.1,5,5,2,3,2,17.0,1,1,2,6,Dropout
84,53,86.3,89.6,13,2,5,3,3,4.9,0,0,2,3,Non-Dropout
65,50,86.6,88.3,3,2,3,2,3,13.3,1,0,1,1,Dropout
90,98,92.5,57.4,12,1,2,2,3,5.6,1,1,2,3,Non-Dropout
85,89,48.5,87.8,19,3,3,1,1,1.8,0,0,2,4,Non-Dropout
82,81,74.3,60.7,16,3,1,1,4,2.3,0,0,1,2,Dropout
53,83,66.1,56.3,6,2,1,1,2,4.0,1,0,1,6,Non-Dropout
82,77,58.9,75.7,3,1,4,1,4,7.8,0,0,2,2,Non-Dropout
63,80,59.3,58.1,13,3,1,3,4,1.9,1,0,3,5,Dropout
70,57,62.7,74.7,2,2,3,1,5,4.3,0,1,2,2,Dropout
97,88,78.8,73.5,4,3,3,2,3,2.1,1,0,1,1,Non-Dropout
69,75,72.9,71.0,15,3,1,2,1,8.5,1,0,4,4,Non-Dropout
57,83,65.3,60.9,19,2,5,2,5,3.1,1,1,2,3,Non-Dropout
56,52,44.2,70.2,3,2,2,3,0,0.5,1,0,2,4,Dropout
52,99,44.3,72.8,1,5,2,1,1,0.9,1,1,4,6,Non-Dropout
66,61,40.1,70.0,17,3,2,1,4,0.5,1,1,3,2,Dropout
82,50,93.2,64.4,18,3,2,1,1,3.5,1,0,2,6,Non-Dropout
97,93,40.3,40.8,18,1,1,1,3,0.6,0,0,2,3,Non-Dropout
61,54,45.7,72.3,16,3,3,1,0,0.6,1,0,2,6,Dropout
71,79,57.3,49.3,13,1,5,1,3,14.2,0,0,1,5,Dropout
